GENESIS-Tabelle: Temporär
Kassenstatistik: Ausgaben des kommunalen Haushaltes 1),;;;;;;
Gruppierungen, Gemeinde, Quartale, Jahre,;;;;;;
Gebietsstand 01.01.14;;;;;;
Vierteljährliche Kassenergebnisse der Gemeinden;;;;;;
Freistaat Sachsen;;;;;;
Ausgaben (EUR);;;;;;
;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr
51;      Unterhaltung des sonstigen unbeweglichen Vermögens;31518279;32656967;55670569;76757292;196603107
52;      Geräte,Ausstatt.-,Ausrüst.-,Gebrauchsgegenstände;12608866;12190486;15924952;22172343;62896647
53;      Mieten und Pachten;22776564;21926286;20873004;21481293;87057147
54;      Bewirtsch.d.Grundstücke, baulichen Anlagen usw.;101635308;116961048;90244136;96956748;405797240
55;      Haltung von Fahrzeugen;10248467;12519638;9274482;11214497;43257084
56;      Besondere Aufwendungen für Bedienstete;3017968;3810489;3711833;7626420;18166710
6;    Sächl. Verwaltungs- u. Betriebsaufw. (57-69);357617597;376808993;398153476;419500851;1552080917
638;      Weit.Verw.-,Betriebsausg.,d.h.Gr.57-63 oh.639;64055588;70313551;90198393;89632189;314199721
639;      Schülerbeförderungskosten (ab 2005 nur f. Bef.Tr.);12205560;18421636;12919235;16133747;59680178
64;      Steuern, Versich., Schadensfälle, Sonderausgaben;14781720;10790677;9509433;10618194;45700024
65;      Geschäftsausgaben;28732497;30658245;33930898;38068276;131389916
66;      Weitere allgemeine sächliche Ausgaben;24648117;12180937;16571511;15366527;68767092
660;        Verfügungsmittel;5383;11666;13795;19806;50650
661;        Mitgliedsbeiträge an Verbände und dgl.;355176;121256;60675;38113;575220
662;        Geschäftsführungskosten der Fraktionen;4321;-;617;514;5452
668;        Vermischte Ausgaben;24283237;12048015;16496424;15308094;68135770
67;      Erstattungen von Verwaltungs- und Betriebsaufwand;81984176;85243029;89895196;99290899;356413300
670;        Erstattung Verwalt.-,Betriebsaufwand an Bund;5684636;5514115;6884695;5568108;23651554
671;        Erstattung Verwalt.-,Betriebsaufwand an Land;5058360;6306069;4370356;5406145;21140930
672;        Erst.Verw.-,Betr.aufwand an Gem.,Gem.verbände;6720073;10109208;13838337;17995914;48663532
673;        Erst.Verw.-,Betr.aufwand an Zweckverbände u.dgl.;5303702;6519914;6432825;7093376;25349817
674;        Erst.Verw.-,Betr.aufwand an sonst.öff.Bereich;688167;1151534;1052179;1321113;4212993
675;        Erst.Verw.-,Betr.aufwand an komm.Sonderrechn.;15847185;13920855;15459346;16983783;62211169
676;        Erst.Verw.-,Betr.aufwand an sonst.öff.Sonderr.;2599858;2980920;2960584;2773599;11314961
677;        Erst.Verw.-,Betr.aufwand an priv.Unternehmen;24783392;22866223;24104416;24275118;96029149
678;        Erst.Verw.-,Betr.aufwand an übrige Bereiche;14713593;15376386;14451668;16449044;60990691
679;        Erst.Verw.-,Betr.aufwand-Innere Verrechnungen;585210;497805;340790;1424699;2848504
68;      Kalkulatorische Kosten;17514;-;-;1213668;1231182
680;        Abschreibungen;-;-;-;474201;474201
681;        Abschreib.f.Grundstücke,grundstücksgl. Rechte;-;-;-;85386;85386
682;        Abschreibung für bewegliche Sachen;16087;-;-;90502;106589
685;        Verzinsung des Anlagekapitals;1427;-;-;563579;565006
686;        Auflös.v.passivierten Beiträgen u.ähnl.Entgelten;-;-;-;-;-
687;        Auflös.v.passivierten Zuweisungen u.Zuschüssen;-;-;-;-;-
689;        Zuführ.v.Gebührenant.f.später entstehende Kosten;-;-;-;-;-
69;      Aufgabenbezogene Leistungsbeteiligungen;131192425;149200918;145128810;149177351;574699504
691;        Leist.beteil. b. Leist. f.Unterk./Heiz.an Arbeits.;127457269;144233569;138474156;144466582;554631576
6911;          Leist.beteil. b. Leist. f.Unterkunft und Heizung;127436781;116640313;138065005;144163983;526306082
6912;          Leist.beteil. b. sonst. Leist. f. Unterk./Heizung;20488;27593256;409151;302599;28325494
692;        Leist.beteil. b. Leist. z. Eingliedg. v. Arbeitss.;168087;183112;139765;340468;831432
693;        Leist.beteil. b. einmaligen Leist. an Arbeitss.;1730971;2819924;2929787;2356014;9836696
694;        Leist.bet. beim AL-Geld II einschl. Sozialgeld;-;-;-;294856;294856
695;        Leist.beteil. b. Eingliedg. v. Arbeitssuchenden;7255;19493;8422;18115;53285
696;        Beteil.an Leist.f. BuT - Ber. Grunds. nach SGB II;1828843;1944820;3576680;1701316;9051659
7;    Zuweisungen u. Zuschüsse (nicht für Investitionen);703339359;849362705;826561121;961216566;3340479751
70;      Zusch.f. an gemeinn.,mildt.,kirchl. od.ähnl.Einr.;2632077;2876061;2761771;2339895;10609804
71;      Zuw.u.so. Zuschüsse für lfd. Zwecke;257208625;302451132;297750225;371320267;1228730249
710;        Zuw.u.so. Zusch.f.lfd.Zw.an Bund;-1612618;523672;578194;542604;31852
711;        Zuw.u.so. Zusch.f.lfd.Zw.an Land;1502476;2085158;2679581;1930848;8198063
712;        Zuw.u.so. Zusch.f.lfd.Zw.an Gem.,Gem.verbände;8613807;10693923;11714881;26517961;57540572
713;        Zuw.u.so. Zusch.f.lfd.Zw.an Zweckverbände u.dgl.;7475490;23300816;8361875;12921693;52059874
714;        Zuw.u.so. Zusch.f.lfd.Zw.an sonst.öff.Bereich;2130935;1797808;1854396;1815688;7598827
715;        Zuw.u.so. Zusch.f.lfd.Zw.an komm.Sonderrechn.;90631895;102697461;101058243;143704351;438091950
716;        Zuw.u.so. Zusch.f.lfd.Zw.an sonst.öff.Sonderr.;5040461;4946430;6040921;9680673;25708485
717;        Zuw.u.so. Zusch.f.lfd.Zw.an private Unternehmen;37287933;39545702;46347751;54792061;177973447
718;        Zuw.u.so. Zusch.f.lfd.Zw.an übrige Bereiche;106138246;116860162;119114383;119414388;461527179
72;      Schuldendiensthilfen;148679;213464;163254;123202;648599
720;        Schuldendiensthilfen an Bund;-;-;-;-;-
721;        Schuldendiensthilfen an Land;-;-;-;-;-
722;        Schuldendiensthilfen an Gemeinde/Gemeindeverbänden;4410;-;24;-;4434
723;        Schuldendiensthilfen an Zweckverbände und dgl.;135675;193551;135320;118402;582948
724;        Schuldendiensthilfen an sonst.öffentl.Bereich;-;-;-;-;-
725;        Schuldendiensthilfen an komm.Sonderrechnungen;7624;15000;25051;3864;51539
;        Schuldendiensthilfen an sonst.öff.Sonderrechn.;-;-;-;-;-
727;        Schuldendiensthilfen an private Unternehmen;-;-;-;-;-
728;        Schuldendiensthilfen an übrige Bereiche;970;4913;2859;936;9678
73;      Leist.d.Sozialh.an natürl.Pers. außerh.v.Einricht.;35392076;55769510;54466183;56829479;202457248
74;      Leist.d.Sozialh.an natürl.Pers. in Einrichtungen;116408406;144876646;137708728;148116296;547110076
75;      Leist.an Kriegsopfer u.ähnl.Anspruchsberechtigte;600;-;1444;-2044;0
76;      Leist.d.Jugendhilfe außerhalb von Einrichtungen;44541507;53270044;54925692;59457209;212194452
77;      Leistungen der Jugendhilfe in Einrichtungen;37677462;44481697;46075146;56534231;184768536
78;      Sonstige soziale Leistungen;201097166;234592156;222165609;250528227;908383158
780;        Leist.nach dem Unterhaltsvorschussgesetz (UVG);-;-;-;-;-
781;        Leistungen der Grundsicherung außerhalb von Einr.;-;-;-;-;-
782;        Leistungen der Grundsicherung in Einrichtungen;-;-;-;-;-
783;        Leistungen für Unterkunft und Heizung an Arbeitss.;51854242;70288577;62660905;78680280;263484004
7831;          Leistungen für Unterkunft und Heizung;51526197;69976528;62270722;78309297;262082744
7832;          Sonstige Leistungen für Unterkunft und Heizung;328045;312049;390183;370983;1401260
784;        Leistungen zur Eingliederung von Arbeitssuchenden;585207;735656;747809;85136;2153808
785;        Einmalige Leistungen an Arbeitssuchende;550586;603575;708175;630489;2492825
786;        Arbeitslosengeld II einschließlich Sozialgeld;109984515;122459245;118827805;125207272;476478837
787;        Leistungen zur Eingliederung von Arbeitssuchenden;16204155;20519740;23244232;24127175;84095302
788;        Weitere soziale Leistungen;21918461;19985363;15976683;21797875;79678382
7881;          Leist. nach Par.276 des Lastenausgleichsgesetzes;-;-;-;-;-
7882;          Mehraufwandsentschädigungen;18395189;16622664;10958854;17649861;63626568
7883;          Leist.d.Lkr. Par.2 Abs.1 Satz 1 La.blindengeldges.;-;-;-;-;-
7884;          Leist.d.Lkr. Par.2 Abs.1 Satz 2 La.blindengeldges.;-;-;-;-;-
7885;          Übrige soziale Leistungen;-;-;-;-;-
7886;          Leist. für BuT für Kinderzuschlagsempfänger (BKGG);106113;127017;187628;176251;597009
7887;          Leistungen für BuT für Wohngeldempfänger (WOGG);1441604;1619301;2259941;2095546;7416392
7888;          Leist.f. BuT - Bereich Grundsich. nach dem SGB II;1975555;1616381;2570260;1876217;8038413
;        Weitere soziale Leistungen des überörtl. Sozialtr.;-;-;-;-;-
79;      Leistungen nach dem Asylbewerbergesetz;8232761;10831995;10543069;15969804;45577629
8;    Sonstige Finanzausgaben;307943449;334214376;378388170;392579766;1413125761
80;      Zinsausgaben;21780026;24652466;26638709;23130693;96201894
800;        Zinsausgaben an Bund;70803;-;-;-70803;0
801;        Zinsausgaben an Land;38075;62959;8604;-84098;25540
802;        Zinsausgaben an Gemeinden und Gemeindeverbände;17593;4534;5043;15768;42938
803;        Zinsausgaben an Zweckverbände und dgl.;1766;14633;18197;6197;40793
804;        Zinsausgaben an sonstigen öffentlichen Bereich;4366;13918;-18424;140;0
805;        Zinsausgaben an kommunale Sonderrechnungen;308890;525239;327980;428986;1591095
806;        Zinsausgaben an sonstige öffentl. Sonderrechnungen;244130;266719;249293;116389;876531
807;        Zinsausgaben an private Unternehmen;20769528;23441374;25616947;23046750;92874599
808;        Zinsausgaben an übrige Bereiche;324875;323090;431069;-328636;750398
809;        Zinsausgaben - Innere Darlehen;-;-;-;-;-
81;      Steuerbeteiligungen;-2509784;21113293;25210032;62251579;106065120
810;        Gewerbesteuerumlage;-2509784;21113293;25210032;62251579;106065120
82;      Allgemeine Zuweisungen;31858;399295;53277;856902;1341332
821;        Allg. Zuw.an Land-Rückzahl.v.Bedarfszuweisungen;1306;363862;5309;757322;1127799
822;        Allg. Zuw.an Gemeinden u.Gemeindeverbände;16285;18980;40592;77954;153811
823;        Allgemeine Zuweisungen an Zweckverbände;14267;15129;6200;19966;55562
824;        Allg. Zuw.an sonst.öffentlichen Bereich;-;1324;1176;1660;4160
83;      Allgemeine Umlagen;265452850;280526411;319823311;289000618;1154803190
831;        Allgemeine Umlagen an Land;116140;-103590;7699;9988;30237
832;        Allg. Umlagen an Gemeinden und Gemeindeverbände;159065552;174327821;213620974;183041206;730055553
8320;          Allgem. Umlagen an Gem./GV - Kreisumlage (ab 2009);153243733;168982762;208145369;178251573;708623437
8321;          Allgem.Uml.an Gem./GV - Finanzausgl.uml. (ab 2009);4522687;3738625;4100193;3876902;16238407
8322;          Allgem. Uml. an Gem./GV - Sonst. Umlagen (ab 2009);1299132;1606434;1375412;912731;5193709
833;        Allgemeine Umlagen an Zweckverbände und dgl.;2760967;3212306;3552358;3602627;13128258
834;        Kulturumlage;6658838;6238523;6492472;5729295;25119128
835;        Umlage KSV Sachsen;96851353;96851351;96149808;96617502;386470014
84;      Weitere Finanzausgaben;23188499;7522911;6461608;17162997;54336015
840;        Inanspruchn. aus Bürgschaften u.Gewährverträgen;27349;4344;10775;39454;81922
841;        Sonstige Finanzausgaben;23161150;7518567;6450833;17123543;54254093
86;      Zuführung zum Vermögenshaushalt;-;-;201233;176977;378210
860;        Allgemeine Zuführung zum Vermögenshaushalt;-;-;34874;2;34876
861;        Zuführung zu Sonderrücklagen;-;-;166359;176975;343334
89;      Abwicklung der Vorjahre;-;-;-;-;-
892;        Deckung von Soll-Fehlbetr.d.Verwaltungshaushaltes;-;-;-;-;-
998;  Ausgaben des Vermögenshaushalts;322519496;367282232;465943465;686715615;1842460808
9;    Ausgaben des Vermögenshaushalts;322519484;367282246;465943439;686715600;1842460769
90;      Zuführung zum Verwaltungshaushalt;229698;-;-;-;229698
900;        Allgemeine Zuführung zum Verwaltungshaushalt;183789;-;-;-;183789
901;        Entnahmen aus Sonderrücklagen;45909;-;-;-;45909
91;      Zuführungen an Rücklagen;-;636600;314746;145964;1097310
910;        Zuführungen an allgemeine Rücklagen;-;-;82500;13823;96323
911;        Zuführungen an Sonderrücklagen;-;636600;232246;132141;1000987
3111;          Zuf. aus Sonderrückl., auß. Vorsorgerückl.(ab 09);-;636600;-;-;636600
3112;          Zuf. aus der Vorsorgerückl., allgem. Teil (ab 09);-;-;152765;211622;364387
3113;          Zuf. aus der Vors.rücklage, invest. Teil (ab 09);-;-;79481;-79481;0
92;      Gewährung von Darlehen;581315;887137;5556651;5781879;12806982
920;        Gewährung von Darlehen an Bund;-;20252;-;-20252;0
921;        Gewährung von Darlehen an Land;-;-;-;-;-
922;        Gewähr.v.Darlehen an Gemeinden u.Gemeindeverbände;-;-;40800;-8061;32739
923;        Gewähr.v.Darlehen an Zweckverbände und dergl.;129471;73447;9736;-;212654
924;        Gewähr.v.Darlehen an sonst.öffentlichen Bereich;-;-;-;-;-
925;        Gewähr.v.Darlehen an kommunale Sonderrechnungen;117973;433680;4774805;4906394;10232852
926;        Gewähr.v.Darlehen an sonst.öffentl.Sonderrechn.;-;-;-;-;-
927;        Gewährung von Darlehen an private Unternehmen;-;-;-;10000;10000
928;        Gewährung von Darlehen an übrige Bereiche;333871;359758;731310;893798;2318737
93;      Vermögenserwerb;33831257;32646059;40850574;124105159;231433049
930;        Erwerb von Beteiligungen, Kapitalerwerb;5020305;4043780;3873607;50823781;63761473
932;        Erwerb von Grundstücken;8835717;11739067;11421198;21021380;53017362
933;        Leas.-,Leibr.zahl.-Zus.hang m.Grunderw.,Tilg.Sch.;-;-;-;-;-
935;        Erwerb von bewegl.Sachen des Anlagevermögens;19974348;16862768;25555325;52259333;114651774
936;        Leas.zahl.-Zus.hang m.Erw.bew.Sachen d.Anl.verm.;887;444;444;665;2440
94;      Baumaßnahmen (einschließlich der Gr. 95 und 96);141518499;188895159;267354634;332660816;930429108
B01;        Baumaßnahmen, davon Allgemeine Verwaltung;17884042;29946082;34956341;40675197;123461662
B02;        Baumaßnahmen, davon Schulen;31646404;40725683;58796932;66511429;197680448
B03;        Baumaßnahmen, davon Eigene Sportstätten;5499468;7552691;9922254;9158341;32132754
B04;        Baumaßnahmen, davon Städtepl.,Vermessung,Bauordng.;15411546;20728712;26674538;40444293;103259089
B05;        Baumaßnahmen, davon Wohnungsbauf., Wohnungsfürs.;68442;115026;246361;527251;957080
B06;        Baumaßnahmen, davon Straßen;31474064;46788522;74399469;98733129;251395184
B07;        Baumaßnahmen, davon Abwasserbeseitigung;809279;2405616;4613025;4606940;12434860
B08;        Baumaßnahmen, davon Abfallbeseitigung;28986;14191;53117;171211;267505
B09;        Baumaßnahmen, davon Versorgungsunternehmen;119530;160138;303041;553132;1135841
B10;        Baumaßnahmen, davon Verkehrsunternehmen;491840;180;101337;81872;675229
B11;        Baumaßnahmen, davon Allgemeine Grundvermögen;273449;177253;253394;859247;1563343
B12;        Baumaßnahmen, davon Übrige Aufgabenbereiche;37811449;40281065;57034825;70338774;205466113
97;      Tilgung von Krediten, Rückzahlg. von inneren Darl.;120082473;116362967;126074008;164117716;526637164
97X1;        Tilgg.v.Kr.,Rückz.v.inn.Darl.-ordentl.Tilgung;119247136;115006374;125661665;160572460;520487635
9701;          ordentliche Tilgung an Bund;517;-1788;1271;-;0
9711;          ordentliche Tilgung an Land;36802;-12567;3635;74236;102106
9721;          ordentl.Tilgung an Gemeinden u.Gemeindeverbände;10541;6077;8437;105945;131000
9731;          ordentliche Tilgung an Zweckverbände und dgl.;-;-;641;55000;55641
9741;          ordentl.Tilgung an sonst.öffentlichen Bereich;37778;25170;37415;40997;141360
9751;          ordentliche Tilgung an kommunale Sonderechnungen;436496;591498;536067;698601;2262662
9761;          ordentl.Tilgung an sonst.öffentl.Sonderrechn.;843853;988056;664704;164339;2660952
9771;          ordentliche Tilgung an private Unternehmen;117395210;112811927;123519673;159138417;512865227
9781;          ordentliche Tilgung an übrige Bereiche;485939;598001;889822;294925;2268687
9791;          ordentliche Tilgung - Innere Darlehen;-;-;-;-;-
97X2;        Tilgg.v.Kr.,Rückz.Inn.Darl.-außerord.Tilg.(Umsch.);795000;1263467;412343;3545256;6016066
9702;          außerordentliche Tilgung, Umschuldung an Bund;-;-;-;-;-
9712;          außerord.Tilg.(Umschuldung) an Land;-;-;-;-;-
9722;          außerord.Tilg.(Umsch.) an Gemeinden und GV;-;-;-;-;-
9732;          außerord.Tilg.(Umsch.) an Zweckverbände und dgl.;-;-;-;-;-
9742;          außerord.Tilg.(Umsch.) an sonst.öffentl.Bereich;-;-;-;-;-
9752;          außerord.Tilg.(Umsch.) an komm.Sonderrechnungen;-;1195865;258451;617099;2071415
9762;          außerord.Tilg.(Umsch.) an sonst.öff.Sonderrechn.;-;-;153892;1855900;2009792
9772;          außerord.Tilg.(Umsch.) an private Unternehmen;795000;67602;-;1072257;1934859
9782;          außerord.Tilg.(Umsch.) an übrige Bereiche;-;-;-;-;-
9792;          außerord.Tilg.(Umschuldung) - Innere Darlehen;-;-;-;-;-
97X3;        Tilgg.v.Kr.,Rückz.Inn.Darl.-außerord.Ti.(o.Umsch.);40337;93126;-;-;133463
9703;          außerordentliche Tilgung (ohne Umschuldung)an Bund;-;-;-;-;-
9713;          außerord.Tilg.(ohne Umsch.) an Land;-;-;-;-;-
9723;          außerord.Tilg.(ohne Umsch.) an Gemeinden und GV;-;-;-;-;-
9733;          außerord.Tilg.(o.Umsch.) an Zweckverbände und dgl.;-;-;-;-;-
9743;          außerord.Tilg.(o.Umsch.) an sonst.öffentl.Bereich;-;-;-;-;-
9753;          außerord.Tilg.(o.Umsch.) an komm.Sonderrechnungen;40000;82900;-;-;122900
9763;          außerord.Tilg.(o.Umsch.) an sonst.öff.Sonderrechn.;-;-;-;-;-
9773;          außerord.Tilg.(o.Umsch.) an private Unternehmen;337;10226;-;-;10563
9783;          außerord.Tilg.(ohne Umsch.) an übrige Bereiche;-;-;-;-;-
9793;          außerord.Tilg.(ohne Umsch.) - Innere Darlehen;-;-;-;-;-
98;      Zuweisungen und Zuschüsse für Investitionen;26235565;27854246;25792757;59884020;139766588
980;        Zuweisungen, Zuschüsse für Investitionen an Bund;301959;-110867;-;-179350;11742
981;        Zuweisungen u.Zuschüsse für Investit. an Land;3719846;1895330;2813418;5219730;13648324
982;        Zuw.,Zusch.f.Invest.an Gemeinden u.Gem.verbände;4201241;4102585;6756582;16120122;31180530
983;        Zuw.,Zusch.f.Invest.an Zweckverbände und dgl.;1122672;1138624;1145474;1770058;5176828
984;        Zuw.,Zusch.f.Invest.an sonst.öffentl.Bereich;186301;18552;352610;11890289;12447752
985;        Zuw.,Zusch.f.Invest.an komm.Sonderechnungen;11535138;13378160;6355811;7017246;38286355
986;        Zuw.,Zusch.f.Invest.an sonst.öff.Sonderrechn.;219883;73527;-8611;588833;873632
987;        Zuw.,Zusch.f.Invest.an private Unternehmen;3038250;3119267;2134929;4540903;12833349
988;        Zuw.,Zusch.f.Invest.an übrige Bereiche;1910275;4239068;6242544;12916189;25308076
99;      Sonstige Ausgaben des Vermögenshaushalts;40677;78;69;20046;60870
990;        Kreditbeschaffungskosten;40492;46;37;-8;40567
991;        Ablösung von Dauerlasten;185;32;32;19224;19473
992;        Deckung von Soll-Fehlbetr.d.Vermögenshaushaltes;-;-;-;-;-
993;        Sonstige Abführungen;-;-;-;830;830
997;        Abf.an Erblastentilg.fonds n.Altsch.hilfegesetz;-;-;-;-;-
_____
1) Die Kreis- bzw. NUTS 2-Regionssummen enthalten auch
   die Daten der Landkreise (Landkreishaushalte = LKH)
   und der Verwaltungsverbände.
   Das Ergebnis für Sachsen enthält darüber hinaus die
   Daten des Kommunalen Sozialverbandes Sachsen (ehemals
   Landeswohlfahrsverband).
2) Der Ausweis der Darunter-Positionen 593 und 594 aus der
   Gruppierung (638) erfolgt in Tabelle 71137-104Z.
2) Gegenwärtig erfolgt in den Kommunen die Umstellung des
   Rechnungswesens von der Kameralistik zur Doppik.
   Im Jahr 2013 wendeten bereits 94 Prozent der Gemeinden
   und Gemeindeverbände das neue doppische Rechnungswesen
   an. Für eine einheitliche Ergebnisdarstellung werden die
   doppischen Daten in kameralistische Daten umgesetzt.
   Während der gesamten Umstellungsphase ist mit
   Beeinträchtigungen der Ergebnisdaten in ihrer
   Aussagekraft und Vergleichbarkeit zu rechnen.
_____
(C)opyright Statistisches Landesamt des Freistaates Sachsen 2015 -
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet
Stand: 21.02.2015 / 13:42:41
